Date,Time,x-booster (km),y-booster (km),z-booster (km),x-moon (km),y-moon (km),z-moon (km)
1/6/2022,12:59:59 AM,329890.9188,-189405.3042,-135939.9801,321516.0017,-156163.8193,-104120.2909
1/6/2022,1:59:59 AM,332604.2095,-189412.8734,-137147.288,323605.3564,-153242.4514,-102878.5299
1/6/2022,2:59:59 AM,335279.1489,-189386.1595,-138353.4681,325661.92,-150305.8423,-101626.4972
1/6/2022,3:59:59 AM,337915.4404,-189332.1366,-139555.5031,327685.5117,-147354.4021,-100364.3369
1/6/2022,4:59:59 AM,340517.3964,-189247.4695,-140756.296,329676.0734,-144388.3221,-99092.13241
1/6/2022,5:59:59 AM,343084.5849,-189139.0325,-141950.52,331633.4044,-141408.0745,-97810.03201
1/6/2022,6:59:59 AM,345617.7454,-189004.6385,-143142.2712,333557.378,-138413.8915,-96518.31218
1/6/2022,7:59:59 AM,352335.4625,-191133.3834,-130416.8244,335447.8983,-135406.1559,-95216.93684
1/6/2022,8:59:59 AM,354848.6776,-190959.8225,-131524.3191,337304.8185,-132385.1618,-93906.18707
1/6/2022,9:59:59 AM,357330.7766,-190766.8119,-132625.9317,339128.0182,-129351.2833,-92586.15703
1/6/2022,10:59:59 AM,359783.2287,-190552.3659,-133723.8609,340917.417,-126304.707,-91257.06961
1/6/2022,11:59:59 AM,362205.8384,-190316.9071,-134818.0518,342672.8704,-123245.9343,-89918.95969
1/6/2022,12:59:59 PM,364599.8859,-190064.9938,-135905.0897,344394.2813,-120175.2145,-88572.05458
1/6/2022,1:59:59 PM,366964.053,-189796.4711,-136988.8717,346081.5627,-117092.8679,-87216.45673
1/6/2022,2:59:59 PM,369300.9912,-189509.8408,-138067.6499,347734.6011,-113999.2064,-85852.39818
1/6/2022,3:59:59 PM,371610.553,-189205.4904,-139141.3473,349353.2954,-110894.6138,-84479.98569
1/6/2022,4:59:59 PM,373889.8485,-188889.2428,-140209.8867,350937.5867,-107779.3531,-83099.32786
1/6/2022,5:59:59 PM,376144.5623,-188554.2226,-141273.8276,352487.3662,-104653.8055,-81710.5993
1/6/2022,6:59:59 PM,378373.289,-188206.9759,-142331.3687,354002.5481,-101518.2928,-80313.97689
1/6/2022,7:59:59 PM,380574.9764,-187843.9901,-143383.8322,355483.0673,-98373.07581,-78909.63971
1/6/2022,8:59:59 PM,382751.3199,-187469.9722,-144430.0407,356928.8528,-95218.5471,-77497.64014
1/6/2022,9:59:59 PM,384901.4757,-187081.479,-145473.7306,358339.8151,-92055.02716,-76078.22567
1/6/2022,10:59:59 PM,387025.8813,-186682.5937,-146508.6092,359715.91,-88882.78168,-74651.51706
1/6/2022,11:59:59 PM,389150.6531,-186192.3268,-147596.0335,361057.0642,-85702.20158,-73217.63689
1/7/2022,12:59:59 AM,391227.8632,-185761.6745,-148624.6456,362363.1993,-82513.61003,-71776.8392
1/7/2022,1:59:59 AM,393279.963,-185318.5783,-149648.7197,363634.3036,-79317.2786,-70329.12079
